POC,X,Y,W,D,dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,SAD,SSE,MSE,COST_2Nx2N,COST_MSM,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,TR_SKIP,NON-Z-COEFF,TIME_ms,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,AVG_NEIGH_DEPTH,SVM_PU_UP,SVM_TU_UP,SVM_FME_UP,SVM_CU,SVM_PU,SVM_TU,SVM_FME,FINAL_PU,FINAL_TU,FINAL_FME,SPLIT
4.000000,0.000000,0.000000,64.000000,0.000000,0.000000,2.000000,0.000000,122.000000,245818.000000,334167.081600,0.000000,0.000000,0.000000,334167.081600,362683.081600,0.921375,-0.078625,1.000000,0.921375,-0.078625,1.000000,0.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.058824,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,7.000000,0.000000,0.000000,0.000000
4.000000,64.000000,0.000000,64.000000,0.000000,0.000000,1.000000,0.000000,29.000000,282439.000000,303440.011200,0.000000,0.000000,0.000000,303440.011200,436876.345600,0.694567,-0.305433,1.000000,0.694567,-0.305433,0.000000,0.000000,9.000000,0.000000,1.000000,7.071068,0.790569,8.062258,0.901388,1.414214,0.250000,0.000000,3.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.527972,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,0.000000,2.000000,0.000000
4.000000,128.000000,0.000000,64.000000,0.000000,0.000000,0.000000,0.000000,5.000000,123938.000000,127558.864000,0.000000,0.000000,0.000000,131136.728000,127558.864000,1.028049,0.028049,0.972717,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.745098,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,4.000000,0.000000,2.000000,0.000000
4.000000,192.000000,0.000000,64.000000,0.000000,0.000000,0.000000,0.000000,1.000000,145868.000000,146592.172800,0.000000,0.000000,0.000000,151661.382400,146592.172800,1.034580,0.034580,0.966575,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.819820,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,256.000000,0.000000,64.000000,0.000000,0.000000,1.000000,0.000000,30.000000,335077.000000,356802.184000,0.000000,0.000000,0.000000,356802.184000,710640.590400,0.502085,-0.497915,1.000000,0.502085,-0.497915,0.000000,0.000000,16.000000,0.000000,0.000000,2.000000,0.559017,5.000000,0.500000,2.000000,0.559017,0.000000,3.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.597649,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
4.000000,320.000000,0.000000,64.000000,0.000000,0.000000,0.000000,0.000000,5.000000,214821.000000,218441.864000,0.000000,0.000000,0.000000,221334.555200,218441.864000,1.013242,0.013242,0.986931,1.000000,0.000000,0.000000,0.000000,52.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.803922,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,384.000000,0.000000,32.000000,1.000000,0.000000,0.000000,0.000000,1.000000,48803.000000,49527.172800,0.000000,0.000000,0.000000,55320.555200,49527.172800,1.116974,0.116974,0.895276,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.257576,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,384.000000,32.000000,32.000000,1.000000,0.000000,1.000000,0.000000,11.000000,45616.000000,53581.900800,0.000000,0.000000,0.000000,53581.900800,82861.184000,0.646647,-0.353353,1.000000,0.646647,-0.353353,0.000000,0.000000,5.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.257576,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
4.000000,0.000000,64.000000,64.000000,0.000000,0.000000,2.000000,0.000000,404.000000,378373.000000,670938.811200,0.000000,0.000000,0.000000,675999.057600,670938.811200,1.007542,0.007542,0.992514,1.000000,0.000000,1.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.168851,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,1.000000
4.000000,0.000000,64.000000,32.000000,1.000000,0.000000,0.000000,0.000000,2.000000,90459.000000,91907.345600,0.000000,0.000000,0.000000,103426.456000,91907.345600,1.125334,0.125334,0.888625,1.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.168851,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
