POC,X,Y,W,D,dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,SAD,SSE,MSE,COST_2Nx2N,COST_MSM,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,TR_SKIP,NON-Z-COEFF,TIME_ms,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,AVG_NEIGH_DEPTH,SVM_PU_UP,SVM_TU_UP,SVM_FME_UP,SVM_CU,SVM_PU,SVM_TU,SVM_FME,FINAL_PU,FINAL_TU,FINAL_FME,SPLIT
2.000000,0.000000,0.000000,64.000000,0.000000,0.000000,0.000000,0.000000,1.000000,143296.000000,143571.413659,0.000000,0.000000,0.000000,146325.550251,143571.413659,1.019183,0.019183,0.981178,1.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,7.000000,0.000000,0.000000,0.000000
2.000000,64.000000,0.000000,64.000000,0.000000,0.000000,1.000000,0.000000,24.000000,221539.000000,228148.927821,0.000000,0.000000,0.000000,228148.927821,228281.413659,0.999420,-0.000580,1.000000,0.999420,-0.000580,0.000000,0.000000,1.000000,0.000000,1.000000,5.099020,0.790569,5.385165,0.901388,1.414214,0.901388,0.000000,3.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.307995,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,7.000000,0.000000,2.000000,1.000000
2.000000,64.000000,0.000000,32.000000,1.000000,0.000000,0.000000,0.000000,1.000000,33191.000000,33466.413659,0.000000,0.000000,0.000000,36502.791229,33466.413659,1.090729,0.090729,0.916818,1.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,3.000000,0.790569,3.000000,0.790569,0.000000,0.000000,-1.000000,3.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.307995,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.000000,0.000000,0.000000,0.000000
2.000000,96.000000,0.000000,32.000000,1.000000,0.000000,0.000000,0.000000,7.000000,16043.000000,17970.895614,0.000000,0.000000,0.000000,18382.722933,17970.895614,1.022916,0.022916,0.977597,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.307995,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,64.000000,32.000000,32.000000,1.000000,0.000000,1.000000,0.000000,14.000000,69278.000000,73133.791229,0.000000,0.000000,0.000000,73133.791229,95597.827318,0.765015,-0.234985,1.000000,0.765015,-0.234985,0.000000,0.000000,1.000000,0.000000,1.000000,5.099020,0.790569,5.385165,0.901388,1.414214,0.901388,0.000000,1.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.307995,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4.000000,0.000000,0.000000,0.000000
2.000000,96.000000,32.000000,32.000000,1.000000,0.000000,0.000000,0.000000,1.000000,41545.000000,41820.413659,0.000000,0.000000,0.000000,62850.859525,41820.413659,1.502875,0.502875,0.665391,1.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,4.123106,0.500000,4.123106,0.500000,0.000000,0.000000,-1.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.307995,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,6.000000,0.000000,1.000000,0.000000
2.000000,128.000000,0.000000,64.000000,0.000000,0.000000,0.000000,0.000000,1.000000,63957.000000,64232.413659,0.000000,0.000000,0.000000,66986.550251,64232.413659,1.042878,0.042878,0.958885,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,2.000000,1.096774,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,192.000000,0.000000,64.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78369.000000,78369.000000,0.000000,0.000000,0.000000,81117.136592,78369.000000,1.035067,0.035067,0.966121,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.817204,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,256.000000,0.000000,64.000000,0.000000,0.000000,1.000000,0.000000,23.000000,126004.000000,132338.514162,0.000000,0.000000,0.000000,132338.514162,227327.944496,0.582148,-0.417852,1.000000,0.582148,-0.417852,0.000000,0.000000,30.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.612903,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
2.000000,320.000000,0.000000,64.000000,0.000000,0.000000,0.000000,0.000000,5.000000,93596.000000,94973.068296,0.000000,0.000000,0.000000,97147.791229,94973.068296,1.022898,0.022898,0.977614,1.000000,0.000000,0.000000,0.000000,51.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.118280,-1.000000,-1.000000,-1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,384.000000,0.000000,32.000000,1.000000,0.000000,0.000000,0.000000,1.000000,23786.000000,24061.413659,0.000000,0.000000,0.000000,26600.136592,24061.413659,1.105510,0.105510,0.904560,1.000000,0.000000,0.000000,0.000000,51.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,384.000000,32.000000,32.000000,1.000000,0.000000,2.000000,0.000000,88.000000,26615.000000,50851.402010,0.000000,0.000000,0.000000,50851.402010,51351.128826,0.990268,-0.009732,1.000000,0.990268,-0.009732,1.000000,0.000000,5.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000
2.000000,384.000000,32.000000,16.000000,2.000000,0.000000,0.000000,0.000000,1.000000,3700.000000,3975.413659,0.000000,0.000000,0.000000,6434.136592,3975.413659,1.618482,0.618482,0.617863,1.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
2.000000,400.000000,32.000000,16.000000,2.000000,0.000000,1.000000,0.000000,11.000000,7183.000000,10212.550251,0.000000,0.000000,0.000000,10212.550251,10855.413659,0.940779,-0.059221,1.000000,0.940779,-0.059221,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.053763,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
